ParameterName, q0_min, q0_max, q3_min, q3_max
q0_q3_bin_1702, 1.20, 1.25, 2.85, 2.90
q0_q3_bin_1703, 1.20, 1.25, 2.90, 2.95
q0_q3_bin_1704, 1.20, 1.25, 2.95, 3.00
q0_q3_bin_1705, 1.20, 1.25, 3.00, 3.05
q0_q3_bin_1706, 1.20, 1.25, 3.05, 3.10
q0_q3_bin_1707, 1.20, 1.25, 3.10, 3.15
q0_q3_bin_1708, 1.20, 1.25, 3.15, 3.20
q0_q3_bin_1709, 1.20, 1.25, 3.20, 3.25
q0_q3_bin_1710, 1.20, 1.25, 3.25, 3.30
q0_q3_bin_1711, 1.20, 1.25, 3.30, 3.35
q0_q3_bin_1712, 1.20, 1.25, 3.35, 3.40
q0_q3_bin_1713, 1.20, 1.25, 3.40, 3.45
q0_q3_bin_1714, 1.20, 1.25, 3.45, 3.50
q0_q3_bin_1715, 1.20, 1.25, 3.50, 3.55
q0_q3_bin_1716, 1.20, 1.25, 3.55, 3.60
q0_q3_bin_1717, 1.20, 1.25, 3.60, 3.65
q0_q3_bin_1718, 1.20, 1.25, 3.65, 3.70
q0_q3_bin_1719, 1.20, 1.25, 3.70, 3.75
q0_q3_bin_1720, 1.20, 1.25, 3.75, 3.80
q0_q3_bin_1721, 1.20, 1.25, 3.80, 3.85
q0_q3_bin_1722, 1.20, 1.25, 3.85, 3.90
q0_q3_bin_1723, 1.20, 1.25, 3.90, 4.40
q0_q3_bin_1724, 1.20, 1.25, 4.40, 4.90
q0_q3_bin_1725, 1.20, 1.25, 4.90, 5.00
q0_q3_bin_1726, 1.25, 1.30, 1.25, 1.30
q0_q3_bin_1727, 1.25, 1.30, 1.30, 1.35
q0_q3_bin_1728, 1.25, 1.30, 1.35, 1.40
q0_q3_bin_1729, 1.25, 1.30, 1.40, 1.45
q0_q3_bin_1730, 1.25, 1.30, 1.45, 1.50
q0_q3_bin_1731, 1.25, 1.30, 1.50, 1.55
q0_q3_bin_1732, 1.25, 1.30, 1.55, 1.60
q0_q3_bin_1733, 1.25, 1.30, 1.60, 1.65
q0_q3_bin_1734, 1.25, 1.30, 1.65, 1.70
q0_q3_bin_1735, 1.25, 1.30, 1.70, 1.75
q0_q3_bin_1736, 1.25, 1.30, 1.75, 1.80
q0_q3_bin_1737, 1.25, 1.30, 1.80, 1.85
q0_q3_bin_1738, 1.25, 1.30, 1.85, 1.90
q0_q3_bin_1739, 1.25, 1.30, 1.90, 1.95
q0_q3_bin_1740, 1.25, 1.30, 1.95, 2.00
q0_q3_bin_1741, 1.25, 1.30, 2.00, 2.05
q0_q3_bin_1742, 1.25, 1.30, 2.05, 2.10
q0_q3_bin_1743, 1.25, 1.30, 2.10, 2.15
q0_q3_bin_1744, 1.25, 1.30, 2.15, 2.20
q0_q3_bin_1745, 1.25, 1.30, 2.20, 2.25
q0_q3_bin_1746, 1.25, 1.30, 2.25, 2.30
q0_q3_bin_1747, 1.25, 1.30, 2.30, 2.35
q0_q3_bin_1748, 1.25, 1.30, 2.35, 2.40
q0_q3_bin_1749, 1.25, 1.30, 2.40, 2.45
q0_q3_bin_1750, 1.25, 1.30, 2.45, 2.50
q0_q3_bin_1751, 1.25, 1.30, 2.50, 2.55
q0_q3_bin_1752, 1.25, 1.30, 2.55, 2.60
q0_q3_bin_1753, 1.25, 1.30, 2.60, 2.65
q0_q3_bin_1754, 1.25, 1.30, 2.65, 2.70
q0_q3_bin_1755, 1.25, 1.30, 2.70, 2.75
q0_q3_bin_1756, 1.25, 1.30, 2.75, 2.80
q0_q3_bin_1757, 1.25, 1.30, 2.80, 2.85
q0_q3_bin_1758, 1.25, 1.30, 2.85, 2.90
q0_q3_bin_1759, 1.25, 1.30, 2.90, 2.95
q0_q3_bin_1760, 1.25, 1.30, 2.95, 3.00
q0_q3_bin_1761, 1.25, 1.30, 3.00, 3.05
q0_q3_bin_1762, 1.25, 1.30, 3.05, 3.10
q0_q3_bin_1763, 1.25, 1.30, 3.10, 3.15
q0_q3_bin_1764, 1.25, 1.30, 3.15, 3.20
q0_q3_bin_1765, 1.25, 1.30, 3.20, 3.25
q0_q3_bin_1766, 1.25, 1.30, 3.25, 3.30
q0_q3_bin_1767, 1.25, 1.30, 3.30, 3.35
q0_q3_bin_1768, 1.25, 1.30, 3.35, 3.40
q0_q3_bin_1769, 1.25, 1.30, 3.40, 3.45
q0_q3_bin_1770, 1.25, 1.30, 3.45, 3.50
q0_q3_bin_1771, 1.25, 1.30, 3.50, 3.55
q0_q3_bin_1772, 1.25, 1.30, 3.55, 3.60
q0_q3_bin_1773, 1.25, 1.30, 3.60, 3.65
q0_q3_bin_1774, 1.25, 1.30, 3.65, 3.70
q0_q3_bin_1775, 1.25, 1.30, 3.70, 3.75
q0_q3_bin_1776, 1.25, 1.30, 3.75, 3.80
q0_q3_bin_1777, 1.25, 1.30, 3.80, 3.85
q0_q3_bin_1778, 1.25, 1.30, 3.85, 3.90
q0_q3_bin_1779, 1.25, 1.30, 3.90, 4.40
q0_q3_bin_1780, 1.25, 1.30, 4.40, 4.90
q0_q3_bin_1781, 1.25, 1.30, 4.90, 5.00
q0_q3_bin_1782, 1.30, 1.35, 1.30, 1.35
q0_q3_bin_1783, 1.30, 1.35, 1.35, 1.40
q0_q3_bin_1784, 1.30, 1.35, 1.40, 1.45
q0_q3_bin_1785, 1.30, 1.35, 1.45, 1.50
q0_q3_bin_1786, 1.30, 1.35, 1.50, 1.55
q0_q3_bin_1787, 1.30, 1.35, 1.55, 1.60
q0_q3_bin_1788, 1.30, 1.35, 1.60, 1.65
q0_q3_bin_1789, 1.30, 1.35, 1.65, 1.70
q0_q3_bin_1790, 1.30, 1.35, 1.70, 1.75
q0_q3_bin_1791, 1.30, 1.35, 1.75, 1.80
q0_q3_bin_1792, 1.30, 1.35, 1.80, 1.85
q0_q3_bin_1793, 1.30, 1.35, 1.85, 1.90
q0_q3_bin_1794, 1.30, 1.35, 1.90, 1.95
q0_q3_bin_1795, 1.30, 1.35, 1.95, 2.00
q0_q3_bin_1796, 1.30, 1.35, 2.00, 2.05
q0_q3_bin_1797, 1.30, 1.35, 2.05, 2.10
q0_q3_bin_1798, 1.30, 1.35, 2.10, 2.15
q0_q3_bin_1799, 1.30, 1.35, 2.15, 2.20
q0_q3_bin_1800, 1.30, 1.35, 2.20, 2.25
q0_q3_bin_1801, 1.30, 1.35, 2.25, 2.30
q0_q3_bin_1802, 1.30, 1.35, 2.30, 2.35
q0_q3_bin_1803, 1.30, 1.35, 2.35, 2.40
q0_q3_bin_1804, 1.30, 1.35, 2.40, 2.45
q0_q3_bin_1805, 1.30, 1.35, 2.45, 2.50
q0_q3_bin_1806, 1.30, 1.35, 2.50, 2.55
q0_q3_bin_1807, 1.30, 1.35, 2.55, 2.60
q0_q3_bin_1808, 1.30, 1.35, 2.60, 2.65
q0_q3_bin_1809, 1.30, 1.35, 2.65, 2.70
q0_q3_bin_1810, 1.30, 1.35, 2.70, 2.75
q0_q3_bin_1811, 1.30, 1.35, 2.75, 2.80
q0_q3_bin_1812, 1.30, 1.35, 2.80, 2.85
q0_q3_bin_1813, 1.30, 1.35, 2.85, 2.90
q0_q3_bin_1814, 1.30, 1.35, 2.90, 2.95
q0_q3_bin_1815, 1.30, 1.35, 2.95, 3.00
q0_q3_bin_1816, 1.30, 1.35, 3.00, 3.05
q0_q3_bin_1817, 1.30, 1.35, 3.05, 3.10
q0_q3_bin_1818, 1.30, 1.35, 3.10, 3.15
q0_q3_bin_1819, 1.30, 1.35, 3.15, 3.20
q0_q3_bin_1820, 1.30, 1.35, 3.20, 3.25
q0_q3_bin_1821, 1.30, 1.35, 3.25, 3.30
q0_q3_bin_1822, 1.30, 1.35, 3.30, 3.35
q0_q3_bin_1823, 1.30, 1.35, 3.35, 3.40
q0_q3_bin_1824, 1.30, 1.35, 3.40, 3.45
q0_q3_bin_1825, 1.30, 1.35, 3.45, 3.50
q0_q3_bin_1826, 1.30, 1.35, 3.50, 3.55
q0_q3_bin_1827, 1.30, 1.35, 3.55, 3.60
q0_q3_bin_1828, 1.30, 1.35, 3.60, 3.65
q0_q3_bin_1829, 1.30, 1.35, 3.65, 3.70
q0_q3_bin_1830, 1.30, 1.35, 3.70, 3.75
q0_q3_bin_1831, 1.30, 1.35, 3.75, 3.80
q0_q3_bin_1832, 1.30, 1.35, 3.80, 3.85
q0_q3_bin_1833, 1.30, 1.35, 3.85, 3.90
q0_q3_bin_1834, 1.30, 1.35, 3.90, 4.40
q0_q3_bin_1835, 1.30, 1.35, 4.40, 4.90
q0_q3_bin_1836, 1.30, 1.35, 4.90, 5.00
q0_q3_bin_1837, 1.35, 1.40, 1.35, 1.40
q0_q3_bin_1838, 1.35, 1.40, 1.40, 1.45
q0_q3_bin_1839, 1.35, 1.40, 1.45, 1.50
q0_q3_bin_1840, 1.35, 1.40, 1.50, 1.55
q0_q3_bin_1841, 1.35, 1.40, 1.55, 1.60
q0_q3_bin_1842, 1.35, 1.40, 1.60, 1.65
q0_q3_bin_1843, 1.35, 1.40, 1.65, 1.70
q0_q3_bin_1844, 1.35, 1.40, 1.70, 1.75
q0_q3_bin_1845, 1.35, 1.40, 1.75, 1.80
q0_q3_bin_1846, 1.35, 1.40, 1.80, 1.85
q0_q3_bin_1847, 1.35, 1.40, 1.85, 1.90
q0_q3_bin_1848, 1.35, 1.40, 1.90, 1.95
q0_q3_bin_1849, 1.35, 1.40, 1.95, 2.00
q0_q3_bin_1850, 1.35, 1.40, 2.00, 2.05
q0_q3_bin_1851, 1.35, 1.40, 2.05, 2.10
q0_q3_bin_1852, 1.35, 1.40, 2.10, 2.15
q0_q3_bin_1853, 1.35, 1.40, 2.15, 2.20
q0_q3_bin_1854, 1.35, 1.40, 2.20, 2.25
q0_q3_bin_1855, 1.35, 1.40, 2.25, 2.30
q0_q3_bin_1856, 1.35, 1.40, 2.30, 2.35
q0_q3_bin_1857, 1.35, 1.40, 2.35, 2.40
q0_q3_bin_1858, 1.35, 1.40, 2.40, 2.45
q0_q3_bin_1859, 1.35, 1.40, 2.45, 2.50
q0_q3_bin_1860, 1.35, 1.40, 2.50, 2.55
q0_q3_bin_1861, 1.35, 1.40, 2.55, 2.60
q0_q3_bin_1862, 1.35, 1.40, 2.60, 2.65
q0_q3_bin_1863, 1.35, 1.40, 2.65, 2.70
q0_q3_bin_1864, 1.35, 1.40, 2.70, 2.75
q0_q3_bin_1865, 1.35, 1.40, 2.75, 2.80
q0_q3_bin_1866, 1.35, 1.40, 2.80, 2.85
q0_q3_bin_1867, 1.35, 1.40, 2.85, 2.90
q0_q3_bin_1868, 1.35, 1.40, 2.90, 2.95
q0_q3_bin_1869, 1.35, 1.40, 2.95, 3.00
q0_q3_bin_1870, 1.35, 1.40, 3.00, 3.05
q0_q3_bin_1871, 1.35, 1.40, 3.05, 3.10
q0_q3_bin_1872, 1.35, 1.40, 3.10, 3.15
q0_q3_bin_1873, 1.35, 1.40, 3.15, 3.20
q0_q3_bin_1874, 1.35, 1.40, 3.20, 3.25
q0_q3_bin_1875, 1.35, 1.40, 3.25, 3.30
q0_q3_bin_1876, 1.35, 1.40, 3.30, 3.35
q0_q3_bin_1877, 1.35, 1.40, 3.35, 3.40
q0_q3_bin_1878, 1.35, 1.40, 3.40, 3.45
q0_q3_bin_1879, 1.35, 1.40, 3.45, 3.50
q0_q3_bin_1880, 1.35, 1.40, 3.50, 3.55
q0_q3_bin_1881, 1.35, 1.40, 3.55, 3.60
q0_q3_bin_1882, 1.35, 1.40, 3.60, 3.65
q0_q3_bin_1883, 1.35, 1.40, 3.65, 3.70
q0_q3_bin_1884, 1.35, 1.40, 3.70, 3.75
q0_q3_bin_1885, 1.35, 1.40, 3.75, 3.80
q0_q3_bin_1886, 1.35, 1.40, 3.80, 3.85
q0_q3_bin_1887, 1.35, 1.40, 3.85, 3.90
q0_q3_bin_1888, 1.35, 1.40, 3.90, 4.40
q0_q3_bin_1889, 1.35, 1.40, 4.40, 4.90
q0_q3_bin_1890, 1.35, 1.40, 4.90, 5.00
q0_q3_bin_1891, 1.40, 1.45, 1.40, 1.45
q0_q3_bin_1892, 1.40, 1.45, 1.45, 1.50
q0_q3_bin_1893, 1.40, 1.45, 1.50, 1.55
q0_q3_bin_1894, 1.40, 1.45, 1.55, 1.60
q0_q3_bin_1895, 1.40, 1.45, 1.60, 1.65
q0_q3_bin_1896, 1.40, 1.45, 1.65, 1.70
q0_q3_bin_1897, 1.40, 1.45, 1.70, 1.75
q0_q3_bin_1898, 1.40, 1.45, 1.75, 1.80
q0_q3_bin_1899, 1.40, 1.45, 1.80, 1.85
q0_q3_bin_1900, 1.40, 1.45, 1.85, 1.90
q0_q3_bin_1901, 1.40, 1.45, 1.90, 1.95
q0_q3_bin_1902, 1.40, 1.45, 1.95, 2.00
q0_q3_bin_1903, 1.40, 1.45, 2.00, 2.05
q0_q3_bin_1904, 1.40, 1.45, 2.05, 2.10
q0_q3_bin_1905, 1.40, 1.45, 2.10, 2.15
q0_q3_bin_1906, 1.40, 1.45, 2.15, 2.20
q0_q3_bin_1907, 1.40, 1.45, 2.20, 2.25
q0_q3_bin_1908, 1.40, 1.45, 2.25, 2.30
q0_q3_bin_1909, 1.40, 1.45, 2.30, 2.35
q0_q3_bin_1910, 1.40, 1.45, 2.35, 2.40
q0_q3_bin_1911, 1.40, 1.45, 2.40, 2.45
q0_q3_bin_1912, 1.40, 1.45, 2.45, 2.50
q0_q3_bin_1913, 1.40, 1.45, 2.50, 2.55
q0_q3_bin_1914, 1.40, 1.45, 2.55, 2.60
q0_q3_bin_1915, 1.40, 1.45, 2.60, 2.65
q0_q3_bin_1916, 1.40, 1.45, 2.65, 2.70
q0_q3_bin_1917, 1.40, 1.45, 2.70, 2.75
q0_q3_bin_1918, 1.40, 1.45, 2.75, 2.80
q0_q3_bin_1919, 1.40, 1.45, 2.80, 2.85
q0_q3_bin_1920, 1.40, 1.45, 2.85, 2.90
q0_q3_bin_1921, 1.40, 1.45, 2.90, 2.95
q0_q3_bin_1922, 1.40, 1.45, 2.95, 3.00
q0_q3_bin_1923, 1.40, 1.45, 3.00, 3.05
q0_q3_bin_1924, 1.40, 1.45, 3.05, 3.10
q0_q3_bin_1925, 1.40, 1.45, 3.10, 3.15
q0_q3_bin_1926, 1.40, 1.45, 3.15, 3.20
q0_q3_bin_1927, 1.40, 1.45, 3.20, 3.25
q0_q3_bin_1928, 1.40, 1.45, 3.25, 3.30
q0_q3_bin_1929, 1.40, 1.45, 3.30, 3.35
q0_q3_bin_1930, 1.40, 1.45, 3.35, 3.40
q0_q3_bin_1931, 1.40, 1.45, 3.40, 3.45
q0_q3_bin_1932, 1.40, 1.45, 3.45, 3.50
q0_q3_bin_1933, 1.40, 1.45, 3.50, 3.55
q0_q3_bin_1934, 1.40, 1.45, 3.55, 3.60
q0_q3_bin_1935, 1.40, 1.45, 3.60, 3.65
q0_q3_bin_1936, 1.40, 1.45, 3.65, 3.70
q0_q3_bin_1937, 1.40, 1.45, 3.70, 3.75
q0_q3_bin_1938, 1.40, 1.45, 3.75, 3.80
q0_q3_bin_1939, 1.40, 1.45, 3.80, 3.85
q0_q3_bin_1940, 1.40, 1.45, 3.85, 3.90
q0_q3_bin_1941, 1.40, 1.45, 3.90, 4.40
q0_q3_bin_1942, 1.40, 1.45, 4.40, 4.90
q0_q3_bin_1943, 1.40, 1.45, 4.90, 5.00
q0_q3_bin_1944, 1.45, 1.50, 1.45, 1.50
q0_q3_bin_1945, 1.45, 1.50, 1.50, 1.55
q0_q3_bin_1946, 1.45, 1.50, 1.55, 1.60
q0_q3_bin_1947, 1.45, 1.50, 1.60, 1.65
q0_q3_bin_1948, 1.45, 1.50, 1.65, 1.70
q0_q3_bin_1949, 1.45, 1.50, 1.70, 1.75
q0_q3_bin_1950, 1.45, 1.50, 1.75, 1.80
q0_q3_bin_1951, 1.45, 1.50, 1.80, 1.85
q0_q3_bin_1952, 1.45, 1.50, 1.85, 1.90
q0_q3_bin_1953, 1.45, 1.50, 1.90, 1.95
q0_q3_bin_1954, 1.45, 1.50, 1.95, 2.00
q0_q3_bin_1955, 1.45, 1.50, 2.00, 2.05
q0_q3_bin_1956, 1.45, 1.50, 2.05, 2.10
q0_q3_bin_1957, 1.45, 1.50, 2.10, 2.15
q0_q3_bin_1958, 1.45, 1.50, 2.15, 2.20
q0_q3_bin_1959, 1.45, 1.50, 2.20, 2.25
q0_q3_bin_1960, 1.45, 1.50, 2.25, 2.30
q0_q3_bin_1961, 1.45, 1.50, 2.30, 2.35
q0_q3_bin_1962, 1.45, 1.50, 2.35, 2.40
q0_q3_bin_1963, 1.45, 1.50, 2.40, 2.45
q0_q3_bin_1964, 1.45, 1.50, 2.45, 2.50
q0_q3_bin_1965, 1.45, 1.50, 2.50, 2.55
q0_q3_bin_1966, 1.45, 1.50, 2.55, 2.60
q0_q3_bin_1967, 1.45, 1.50, 2.60, 2.65
q0_q3_bin_1968, 1.45, 1.50, 2.65, 2.70
q0_q3_bin_1969, 1.45, 1.50, 2.70, 2.75
q0_q3_bin_1970, 1.45, 1.50, 2.75, 2.80
q0_q3_bin_1971, 1.45, 1.50, 2.80, 2.85
q0_q3_bin_1972, 1.45, 1.50, 2.85, 2.90
q0_q3_bin_1973, 1.45, 1.50, 2.90, 2.95
q0_q3_bin_1974, 1.45, 1.50, 2.95, 3.00
q0_q3_bin_1975, 1.45, 1.50, 3.00, 3.05
q0_q3_bin_1976, 1.45, 1.50, 3.05, 3.10
q0_q3_bin_1977, 1.45, 1.50, 3.10, 3.15
q0_q3_bin_1978, 1.45, 1.50, 3.15, 3.20
q0_q3_bin_1979, 1.45, 1.50, 3.20, 3.25
q0_q3_bin_1980, 1.45, 1.50, 3.25, 3.30
q0_q3_bin_1981, 1.45, 1.50, 3.30, 3.35
q0_q3_bin_1982, 1.45, 1.50, 3.35, 3.40
q0_q3_bin_1983, 1.45, 1.50, 3.40, 3.45
q0_q3_bin_1984, 1.45, 1.50, 3.45, 3.50
q0_q3_bin_1985, 1.45, 1.50, 3.50, 3.55
q0_q3_bin_1986, 1.45, 1.50, 3.55, 3.60
q0_q3_bin_1987, 1.45, 1.50, 3.60, 3.65
q0_q3_bin_1988, 1.45, 1.50, 3.65, 3.70
q0_q3_bin_1989, 1.45, 1.50, 3.70, 3.75
q0_q3_bin_1990, 1.45, 1.50, 3.75, 3.80
q0_q3_bin_1991, 1.45, 1.50, 3.80, 3.85
q0_q3_bin_1992, 1.45, 1.50, 3.85, 3.90
q0_q3_bin_1993, 1.45, 1.50, 3.90, 4.40
q0_q3_bin_1994, 1.45, 1.50, 4.40, 4.90
q0_q3_bin_1995, 1.45, 1.50, 4.90, 5.00
q0_q3_bin_1996, 1.50, 1.55, 1.50, 1.55
q0_q3_bin_1997, 1.50, 1.55, 1.55, 1.60
q0_q3_bin_1998, 1.50, 1.55, 1.60, 1.65
q0_q3_bin_1999, 1.50, 1.55, 1.65, 1.70
q0_q3_bin_2000, 1.50, 1.55, 1.70, 1.75
q0_q3_bin_2001, 1.50, 1.55, 1.75, 1.80
q0_q3_bin_2002, 1.50, 1.55, 1.80, 1.85
q0_q3_bin_2003, 1.50, 1.55, 1.85, 1.90
q0_q3_bin_2004, 1.50, 1.55, 1.90, 1.95
q0_q3_bin_2005, 1.50, 1.55, 1.95, 2.00
q0_q3_bin_2006, 1.50, 1.55, 2.00, 2.05
q0_q3_bin_2007, 1.50, 1.55, 2.05, 2.10
q0_q3_bin_2008, 1.50, 1.55, 2.10, 2.15
q0_q3_bin_2009, 1.50, 1.55, 2.15, 2.20
q0_q3_bin_2010, 1.50, 1.55, 2.20, 2.25
q0_q3_bin_2011, 1.50, 1.55, 2.25, 2.30
q0_q3_bin_2012, 1.50, 1.55, 2.30, 2.35
q0_q3_bin_2013, 1.50, 1.55, 2.35, 2.40
q0_q3_bin_2014, 1.50, 1.55, 2.40, 2.45
q0_q3_bin_2015, 1.50, 1.55, 2.45, 2.50
q0_q3_bin_2016, 1.50, 1.55, 2.50, 2.55
q0_q3_bin_2017, 1.50, 1.55, 2.55, 2.60
q0_q3_bin_2018, 1.50, 1.55, 2.60, 2.65
q0_q3_bin_2019, 1.50, 1.55, 2.65, 2.70
q0_q3_bin_2020, 1.50, 1.55, 2.70, 2.75
q0_q3_bin_2021, 1.50, 1.55, 2.75, 2.80
q0_q3_bin_2022, 1.50, 1.55, 2.80, 2.85
q0_q3_bin_2023, 1.50, 1.55, 2.85, 2.90
q0_q3_bin_2024, 1.50, 1.55, 2.90, 2.95
q0_q3_bin_2025, 1.50, 1.55, 2.95, 3.00
q0_q3_bin_2026, 1.50, 1.55, 3.00, 3.05
q0_q3_bin_2027, 1.50, 1.55, 3.05, 3.10
q0_q3_bin_2028, 1.50, 1.55, 3.10, 3.15
q0_q3_bin_2029, 1.50, 1.55, 3.15, 3.20
q0_q3_bin_2030, 1.50, 1.55, 3.20, 3.25
q0_q3_bin_2031, 1.50, 1.55, 3.25, 3.30
q0_q3_bin_2032, 1.50, 1.55, 3.30, 3.35
q0_q3_bin_2033, 1.50, 1.55, 3.35, 3.40
q0_q3_bin_2034, 1.50, 1.55, 3.40, 3.45
q0_q3_bin_2035, 1.50, 1.55, 3.45, 3.50
q0_q3_bin_2036, 1.50, 1.55, 3.50, 3.55
q0_q3_bin_2037, 1.50, 1.55, 3.55, 3.60
q0_q3_bin_2038, 1.50, 1.55, 3.60, 3.65
q0_q3_bin_2039, 1.50, 1.55, 3.65, 3.70
q0_q3_bin_2040, 1.50, 1.55, 3.70, 3.75
q0_q3_bin_2041, 1.50, 1.55, 3.75, 3.80
q0_q3_bin_2042, 1.50, 1.55, 3.80, 3.85
q0_q3_bin_2043, 1.50, 1.55, 3.85, 3.90
q0_q3_bin_2044, 1.50, 1.55, 3.90, 4.40
q0_q3_bin_2045, 1.50, 1.55, 4.40, 4.90
q0_q3_bin_2046, 1.50, 1.55, 4.90, 5.00
q0_q3_bin_2047, 1.55, 1.60, 1.55, 1.60
q0_q3_bin_2048, 1.55, 1.60, 1.60, 1.65
q0_q3_bin_2049, 1.55, 1.60, 1.65, 1.70
q0_q3_bin_2050, 1.55, 1.60, 1.70, 1.75
q0_q3_bin_2051, 1.55, 1.60, 1.75, 1.80
q0_q3_bin_2052, 1.55, 1.60, 1.80, 1.85
q0_q3_bin_2053, 1.55, 1.60, 1.85, 1.90
q0_q3_bin_2054, 1.55, 1.60, 1.90, 1.95
q0_q3_bin_2055, 1.55, 1.60, 1.95, 2.00
q0_q3_bin_2056, 1.55, 1.60, 2.00, 2.05
q0_q3_bin_2057, 1.55, 1.60, 2.05, 2.10
q0_q3_bin_2058, 1.55, 1.60, 2.10, 2.15
q0_q3_bin_2059, 1.55, 1.60, 2.15, 2.20
q0_q3_bin_2060, 1.55, 1.60, 2.20, 2.25
q0_q3_bin_2061, 1.55, 1.60, 2.25, 2.30
q0_q3_bin_2062, 1.55, 1.60, 2.30, 2.35
q0_q3_bin_2063, 1.55, 1.60, 2.35, 2.40
q0_q3_bin_2064, 1.55, 1.60, 2.40, 2.45
q0_q3_bin_2065, 1.55, 1.60, 2.45, 2.50
q0_q3_bin_2066, 1.55, 1.60, 2.50, 2.55
q0_q3_bin_2067, 1.55, 1.60, 2.55, 2.60
q0_q3_bin_2068, 1.55, 1.60, 2.60, 2.65
q0_q3_bin_2069, 1.55, 1.60, 2.65, 2.70
q0_q3_bin_2070, 1.55, 1.60, 2.70, 2.75
q0_q3_bin_2071, 1.55, 1.60, 2.75, 2.80
q0_q3_bin_2072, 1.55, 1.60, 2.80, 2.85
q0_q3_bin_2073, 1.55, 1.60, 2.85, 2.90
q0_q3_bin_2074, 1.55, 1.60, 2.90, 2.95
q0_q3_bin_2075, 1.55, 1.60, 2.95, 3.00
q0_q3_bin_2076, 1.55, 1.60, 3.00, 3.05
q0_q3_bin_2077, 1.55, 1.60, 3.05, 3.10
q0_q3_bin_2078, 1.55, 1.60, 3.10, 3.15
q0_q3_bin_2079, 1.55, 1.60, 3.15, 3.20
q0_q3_bin_2080, 1.55, 1.60, 3.20, 3.25
q0_q3_bin_2081, 1.55, 1.60, 3.25, 3.30
q0_q3_bin_2082, 1.55, 1.60, 3.30, 3.35
q0_q3_bin_2083, 1.55, 1.60, 3.35, 3.40
q0_q3_bin_2084, 1.55, 1.60, 3.40, 3.45
q0_q3_bin_2085, 1.55, 1.60, 3.45, 3.50
q0_q3_bin_2086, 1.55, 1.60, 3.50, 3.55
q0_q3_bin_2087, 1.55, 1.60, 3.55, 3.60
q0_q3_bin_2088, 1.55, 1.60, 3.60, 3.65
q0_q3_bin_2089, 1.55, 1.60, 3.65, 3.70
q0_q3_bin_2090, 1.55, 1.60, 3.70, 3.75
q0_q3_bin_2091, 1.55, 1.60, 3.75, 3.80
q0_q3_bin_2092, 1.55, 1.60, 3.80, 3.85
q0_q3_bin_2093, 1.55, 1.60, 3.85, 3.90
q0_q3_bin_2094, 1.55, 1.60, 3.90, 4.40
q0_q3_bin_2095, 1.55, 1.60, 4.40, 4.90
q0_q3_bin_2096, 1.55, 1.60, 4.90, 5.00
q0_q3_bin_2097, 1.60, 1.65, 1.60, 1.65
q0_q3_bin_2098, 1.60, 1.65, 1.65, 1.70
q0_q3_bin_2099, 1.60, 1.65, 1.70, 1.75
q0_q3_bin_2100, 1.60, 1.65, 1.75, 1.80
q0_q3_bin_2101, 1.60, 1.65, 1.80, 1.85
q0_q3_bin_2102, 1.60, 1.65, 1.85, 1.90
q0_q3_bin_2103, 1.60, 1.65, 1.90, 1.95
q0_q3_bin_2104, 1.60, 1.65, 1.95, 2.00
q0_q3_bin_2105, 1.60, 1.65, 2.00, 2.05
q0_q3_bin_2106, 1.60, 1.65, 2.05, 2.10
q0_q3_bin_2107, 1.60, 1.65, 2.10, 2.15
q0_q3_bin_2108, 1.60, 1.65, 2.15, 2.20
q0_q3_bin_2109, 1.60, 1.65, 2.20, 2.25
q0_q3_bin_2110, 1.60, 1.65, 2.25, 2.30
q0_q3_bin_2111, 1.60, 1.65, 2.30, 2.35
q0_q3_bin_2112, 1.60, 1.65, 2.35, 2.40
q0_q3_bin_2113, 1.60, 1.65, 2.40, 2.45
q0_q3_bin_2114, 1.60, 1.65, 2.45, 2.50
q0_q3_bin_2115, 1.60, 1.65, 2.50, 2.55
q0_q3_bin_2116, 1.60, 1.65, 2.55, 2.60
q0_q3_bin_2117, 1.60, 1.65, 2.60, 2.65
q0_q3_bin_2118, 1.60, 1.65, 2.65, 2.70
q0_q3_bin_2119, 1.60, 1.65, 2.70, 2.75
q0_q3_bin_2120, 1.60, 1.65, 2.75, 2.80
q0_q3_bin_2121, 1.60, 1.65, 2.80, 2.85
q0_q3_bin_2122, 1.60, 1.65, 2.85, 2.90
q0_q3_bin_2123, 1.60, 1.65, 2.90, 2.95
q0_q3_bin_2124, 1.60, 1.65, 2.95, 3.00
q0_q3_bin_2125, 1.60, 1.65, 3.00, 3.05
q0_q3_bin_2126, 1.60, 1.65, 3.05, 3.10
q0_q3_bin_2127, 1.60, 1.65, 3.10, 3.15
q0_q3_bin_2128, 1.60, 1.65, 3.15, 3.20
q0_q3_bin_2129, 1.60, 1.65, 3.20, 3.25
q0_q3_bin_2130, 1.60, 1.65, 3.25, 3.30
q0_q3_bin_2131, 1.60, 1.65, 3.30, 3.35
q0_q3_bin_2132, 1.60, 1.65, 3.35, 3.40
q0_q3_bin_2133, 1.60, 1.65, 3.40, 3.45
q0_q3_bin_2134, 1.60, 1.65, 3.45, 3.50
q0_q3_bin_2135, 1.60, 1.65, 3.50, 3.55
q0_q3_bin_2136, 1.60, 1.65, 3.55, 3.60
q0_q3_bin_2137, 1.60, 1.65, 3.60, 3.65
