ParameterName, ene_min, ene_max, erec_minus_ene_min, erec_minus_ene_max
enu_erec_minus_enu_69, 0.0, 0.9184172, -9.01612115e-02, -8.72007816e-02
enu_erec_minus_enu_70, 0.0, 0.9184172, -8.72007816e-02, -8.42403517e-02
enu_erec_minus_enu_71, 0.0, 0.9184172, -8.42403517e-02, -8.12799218e-02
enu_erec_minus_enu_72, 0.0, 0.9184172, -8.12799218e-02, -7.83194919e-02
enu_erec_minus_enu_73, 0.0, 0.9184172, -7.83194919e-02, -7.53590620e-02
enu_erec_minus_enu_74, 0.0, 0.9184172, -7.53590620e-02, -7.23986321e-02
enu_erec_minus_enu_75, 0.0, 0.9184172, -7.23986321e-02, -6.99316072e-02
enu_erec_minus_enu_76, 0.0, 0.9184172, -6.99316072e-02, -6.69711773e-02
enu_erec_minus_enu_77, 0.0, 0.9184172, -6.69711773e-02, -6.40107474e-02
enu_erec_minus_enu_78, 0.0, 0.9184172, -6.40107474e-02, -6.10503175e-02
enu_erec_minus_enu_79, 0.0, 0.9184172, -6.10503175e-02, -5.80898876e-02
enu_erec_minus_enu_80, 0.0, 0.9184172, -5.80898876e-02, -5.51294577e-02
enu_erec_minus_enu_81, 0.0, 0.9184172, -5.51294577e-02, -5.21690278e-02
enu_erec_minus_enu_82, 0.0, 0.9184172, -5.21690278e-02, -4.92085979e-02
enu_erec_minus_enu_83, 0.0, 0.9184172, -4.92085979e-02, -4.62481681e-02
enu_erec_minus_enu_84, 0.0, 0.9184172, -4.62481681e-02, -4.27943332e-02
enu_erec_minus_enu_85, 0.0, 0.9184172, -4.27943332e-02, -3.98339033e-02
enu_erec_minus_enu_86, 0.0, 0.9184172, -3.98339033e-02, -3.68734734e-02
enu_erec_minus_enu_87, 0.0, 0.9184172, -3.68734734e-02, -3.39130435e-02
enu_erec_minus_enu_88, 0.0, 0.9184172, -3.39130435e-02, -3.09526136e-02
enu_erec_minus_enu_89, 0.0, 0.9184172, -3.09526136e-02, -2.74987787e-02
enu_erec_minus_enu_90, 0.0, 0.9184172, -2.74987787e-02, -2.45383488e-02
enu_erec_minus_enu_91, 0.0, 0.9184172, -2.45383488e-02, -2.10845139e-02
